postJob,company,city_state,date,descrip,dateColect,urlDF.country.i.,url
Data Analyst, Electronic Arts, – Burnaby, 15 days ago,"The Challenge Ahead: As a Data Analyst integrated in the a games team, you will play a key role in analyzing our operational data to improve our Quality Verification strategies. You should be a sharp, curious, and analytic individual who has a passion for diving into data to solve business problems. Your insights will influence how we build and verify the quality of ours games. What a Data Analyst does at EA:Receives questions from your game team, understands the questions, and determines the data needed to answer them.Assembles data from multiple sources, conducts analyses, performs research, designs, documents and implements analytical solutions.Presents analysis conclusions to the game team in a clear, understandable, and valuable way. Tells compelling stories supported by data!Takes responsibility and ownership for their active projects, always looking for new problems to solve and new concepts to implement.Communicates clearly (and as often as needed) with team members and business stakeholders.Builds strong relationships across the data analyst community, to share knowledge and learn from others.Presents high quality reports and findings in Power BI or as presentations.Builds metrics reporting systems and tracks process improvements across the team.Conduct analysis using statistical software, databases, spreadsheets, and reporting tools Design, evaluate and monitor key metrics, understanding root causes of changes in metricsDevelop and maintain scripts and queries to import, manipulate, clean, transform data from different sourcesBuild and share live dashboards and reports complete with user documentationPerform quality assurance on generated results to ensure accuracy and consistencyThe next great Data Analyst needs:2-3 years in a past analytical role.Data Analysis - Very good knowledge of R language, MS Excel mastery, including VBA, PivotTables, and array functions - or other similar tools used for discovering data patterns and correlations through statistical methods.University degree in a technical field (e.g. Computer Science, Statistics, Engineering, Mathematics, Operations Research, etc.)Very good math and analytical skills including statistics, simulation, and optimization - understanding of correlation, regression, classification and other statistical methods used to look at the data from different angles for use in prescriptive and predictive models.Expert data visualization techniques for charts and reports - good knowledge of Microsoft Power BI and/or Tableau.Must have very good database and SQL knowledge.Strong problem solving and creative thinking skills.Ability to start and maintain strong partnerships between valuable customers.Professionalism in working with clients and working in a team environment.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=613&ao=281965&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_31b1e314&cb=1516299321205&jobListingId=2606413389
Principal Data Engineer, Upgrade, – Montreal, 13 days ago,"Do you have passion for data and building impactful data products? Do you want to see how data drives the transformation of financial services, solve big problems and make a meaningful difference in people’s lives? Upgrade, Inc. is a new consumer credit platform that combines personal loans with tools that help consumers understand, monitor and improve their credit. We’ve raised $60 million in our first capital raise in March 2017, which remains the largest Series A round ever raised by a fintech company. While the founding team is very accomplished and the business model has been proven, we are still in the early days of this new platform and there is an enormous opportunity to have a significant impact.Upgrade is building out a brand new Data Engineering team, working together closely with the Analytics team to ensure we are a data driven organization. Data drives decision making across Product, Marketing, Finance, Risk and all other teams and Data Engineering will help build and maintain the next generation data infrastructure that powers all of it.What you have/are:*Highly collaborative with analysts, product teams and data scientists with great social skills and high levels of empathy.*5+ years experience in designing, building and maintaining efficient, scalable and reliable batch and real-time data pipelines to load data in a well structured cloud data warehouse such as Redshift, BigQuery or Snowflake. *Strong SQL skills with the ability of writing complex queries on large data sets.*3+ years of working with a data engineering/sciences friendly programming languages such as Python or Scala.*A deep understanding of dimensional modeling with facts, dimensions and aggregates.*Experience building realtime pipelines in Apache Spark, Flink, Storm and the likewise using a scalable distributed messaging systems such as Kafka or kinesis.Experience with workflow management systems like Airflow, Luigi, AWS Data Pipeline, Oozie and the likewise.*Worked in a fast paced environment and been scrappy when needed.Hate doing the same task more than once and always think automation.*Strong knowledge of version control with Git.Do not feel out of place when an enthusiastic colleague starts a conversation on distributed computing and storage in the cafeteria. *Read or will read the blog post https://medium.freecodecamp.org/the-rise-of-the-data-engineer-91be18f1e603 and totally appreciate it.Bonus points for:Experience with financial data.Experience with PII data and its secure storage and retrieval.Experience with cloud environments - AWS, GCP, Azure and the likewise. Experience with stateless computing with AWS Lambda, iron.io and the likewise.Experience with implementing machine learning pipelines. Experience with docker and kubernetes.What you will Do:Quickly gain a deep understanding of the business and how data flows through the organization.Collaborate with Analytics, Engineering & Tech Ops teams to understand our source data and help build a world class data warehouse on the cloud which will act as the one source of truth for all information in the organization.Build and own awesome scalable data pipelines to enrich the data warehouse.Work with engineering, product and the business as they plan for new product initiatives or data needs and proactively develop solutions. What you will get:An opportunity to join us at an early stage where what you build will be of great meaningful impact and will pave the way for our future success and yours too.A highly open, collaborative and supportive team environment that will encourage your crazy but brilliant ideas and respect your decisions. Help and support in creating goals that drive you, take on projects that excite you and learn new things everyday.Great OPEN office location.Conveniently located in San Francisco Financial District.Close to BART and Public Transportation.Comprehensive benefits package: Medical, dental, & vision.Unlimited vacation policy.Kitchen stocked with beverages, snacks & treats.Weekly & monthly social gatherings / happy hours.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=614&ao=85944&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_10de4f92&cb=1516299321206&jobListingId=2629000391
Analytics Architect, IUGO Mobile Entertainment, – Vancouver, 2 days ago," Are you a leader in the field of Big Data and ETL pipeline engineering? Are you well versed with state-of-the-art Big Data technologies from OSS-based technologies to managed services from AWS or Google? Do you have years of hands-on experience building data pipelines? If that’s you, we want to talk to you about an exciting new opportunity to spearhead the analytics platform engineering at IUGO.  As an Analytics Architect, you will be leading the design and development of exciting new Big Data technologies to solve challenging engineering problems. You will help mentor other engineers and direct the best practices on analytics design and engineering.  The ideal candidate should be an expert in Linux server environment, server software engineering and modern cloud technologies. They should also be hard working, highly self-motivated and display exceptional problem solving skills. Details are listed below. RESPONSIBILITIESDirect and lead the analytics technology development effortWork with BI Manager to formulate the analytics technology roadmapMaintain and improve existing analytics pipeline technologyExplore and incorporate new data technologiesDesign and develop high quality codeDirect and mentor junior/intermediate level engineersUpdate and produce high quality concise technology documentationREQUIREMENTS5+ years of relevant professional development experience on Linux environmentsAt least 2 years in a lead engineering roleExpert programming experience with at least two of the following programming languagesC/C++, PHP, Python, Java, GO, JavaScriptExpert experience with relational databasesExpert experience with columnar databasesExpert in data handling with formats such as JSON, ProtobufExpert in Linux server administration/setupExperience with highly scalable server architecturesExcellent communication skills and able to work independently or in a small team environmentBONUSExperience with Amazon Web Service technologiesExperience with Google Cloud Platform technologiesExperience with Spark, Kafka, Cassandra pipelinesExperience with data warehousing solutions such as RedShift, Hadoop or BigQueryExperience or knowledge of NoSQL databases and data structuresExperience with network load balancers and network security (firewalls/ACLs)Generally love tinkering with a wide range of server technologiesBS/MS in Computer Science or qualifications in a related technical disciplinePERKS OF WORKING AT IUGO!Work hard / play hard environmentAvailable consoles and games tables to help blow off some steam!Fully stocked kitchen (Great people do a Costco run for us so our bellies stay full)Catered lunch every FridayMassage chairCompany sponsored eventsCompany movie matineesBeer Friday’sVitamix (who doesn’t love a vitamix?!)What Happens Next? Our team reviews all applications, however, because we receive such high volumes of talent, we are only able to reach out to those who closely match our needs. If you are not contacted right away, don’t be discouraged as we keep all applications on file, and will contact you should a suitable role open up. Thanks for your interest in IUGO!  Please keep an eye out for our opportunities on our careers page: http://www.iugome.com/careers.html Follow Us! Facebook: https://www.facebook.com/iugomobile/  Instagram: https://www.instagram.com/iugome/?hl=en  Twitter: https://twitter.com/iugome",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=615&ao=220033&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e3df4e86&cb=1516299321207&jobListingId=2638131855
"Scientist, Technology Integration & Bioinformatics", Zymeworks, – Vancouver, 8 days ago," Zymeworks is a clinical-stage biopharmaceutical company dedicated to the discovery, development and commercialization of next-generation bispecific and multifunctional biotherapeutics, initially focused on the treatment of cancer. Zymeworks’ suite of complementary therapeutic platforms and its fully-integrated drug development engine provide the flexibility and compatibility to precisely engineer and develop highly-differentiated product candidates. About the Position We are seeking a Scientist to join the Technology Integration & Bioinformatics (TI&B) group, a team of scientists with diverse backgrounds from the computational and biological sciences. Scientists in the TI&B group work closely with the Software and Modeling & Simulation groups to advance our in-house technology platforms for biologics optimization including protein and antibody engineering. In addition, members of the TI&B group work with Scientists in the R&D departments assisting in bioinformatics projects and implementing methods for data analysis and interpretation. The ideal candidate will have a strong background in the implementation of bioinformatics methods, algorithm development, as well as experience in analyzing experimental data.  The position reports to the Lead of the Technology Integration & Bioinformatics group and will be based in Vancouver, BC. Roles and Responsibilities:Assists the team with the research, development and implementation of bioinformatics tools, and algorithms that facilitate the analysis of experimental and in-silico data.Designs, conducts and/or validates statistical analysis of in vitro and in vivo experimental data, and assists scientists in making data-driven decisions.Works with the scientists in Protein Engineering, Discovery Research, and Therapeutics Research teams to gather requirements and specifications for bioinformatics methods and tools.Implements bioinformatics methods for protein engineering and antibody discovery in conjunction with the software development group.Participates in the development of high-throughput and large dataset mining and analysis techniques.Required Qualifications and Experience:MSc or PhD in Bioinformatics, Mathematics, Computer Science or related field and 2 to 5 years’ related experienceStrong skills in biological sequence analysis and bioinformatics algorithm designStrong background in statistical analysis using R, SAS, Matlab or other statistical packagesExperience in implementing and validating informatics methodsEffective software development skills in Python or any other programming languageExcellent communication in spoken and written EnglishAdditional Qualifications and ExperienceExperience in analysis of next generation sequencing dataExperience in biostatistics and clinical data analysisKnowledge of molecular biology and protein scienceWhy Work for Us? Zymeworks’ employees are passionate, engaged and extremely motivated to succeed. We are excited by the cutting-edge science and technology, the endless possibilities this union holds and the sheer opportunity to be a part of something big. To learn more about Zymeworks Inc. and our current openings, please visit our website at www.zymeworks.com.  We offer challenging career opportunities, competitive benefits and an environment that recognizes and rewards performance.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=616&ao=4120&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1549c6e1&cb=1516299321208&jobListingId=2564092163
Senior Machine Learning / Data Scientist, Zighra, – Ottawa, 30+ days ago," Senior Machine Learning - Data Scientist Zighra - Ottawa, ONAs a lead data scientist on our team, you will push the boundaries of machine learning and current mobile and sensor based smart devices. You will be presented with exciting technological challenges that require engineering creative algorithms and developing unique solutions under highly constrained environments.Zighra is rapidly building out our sensor analytics infrastructure. We are extending our platform to handle billions of new records each day, a petabyte scale repository for analytics, and mobile applications for adaptive behavioural authentication and fraud detection. This platform enables Zighras customers to analyze and attribute user behaviours across mobile banking and commerce transactions. Weve already built out a sensor analytics platform that powers users across 70 countries and 700+ smart device types, to give us access to these large data sets and this is a great opportunity to join as a key member of the team and be at the center of impactful action.Job Duties and Responsibilities: Design, develop, and deliver AI/machine learning enabled solutions for behavioural authentication and fraud detectionBuild scalable, available, and supportable processes to collect, manipulate, present, and analyze large datasets in a production environmentArticulate problem definition and work on all aspects of data including acquisition, exploration/visualization, feature engineering, experimentation with machine learning algorithms, deploying modelsDevelop working prototypes of algorithms and evaluate and compare metrics based on the real-world data setsData analytic responsibilities include pattern discovery, outlier detection, sample design, identification of appropriate analytic and statistical methodology, model development and documentation of process and resultsOversee implementation of fraud detection and predictive models in productionMinimum Required Knowledge, Skills, and Abilities: 10+ years of professional experience is requiredDegree in applied math, statistics, machine learning or computer science. PhD/ MS is preferredDeep understanding of statistics and experience with machine learning algorithms/techniques in the mobile/IoT domainPassion for solving challenging analytical problemsAbility to quickly qualitatively and quantitatively assess a problemAbility to work productively with team members, identify and resolve tough issues in a collaborative manner.Experience in applying machine learning techniques to real-world problems in a production environmentFluency in at Spark, Python, RBonus Knowledge and Skills: Experience with feature design and clusteringBeing familiar with MySQL, MongoDBPrevious research experience in Machine Learning specifically anomaly detection is a big plusFraud modelling experience is good to havePublications in the machine learning space is preferredLOCATION: Ottawa, ON, CanadaHOW TO APPLYIf youre interested in joining our team at Zighra, please send your resume to career[at]zighra.com .Please also send us a few sample of the projects that you've worked on.For more information on Zighra please visit www.zighra.com and https://angel.co/zighra.Candidates should be legally authorized to work in Canada.Job Type: Full-timeJob Location:Ottawa, ON  SkillsPython, Spark  SectorsTechnology",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=617&ao=148105&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_77d435e9&cb=1516299321209&jobListingId=2258687526
Data Engineer, BC Safety Authority, – Vancouver, 14 days ago,"Status: Regular, Full Time, Union (40 hours per week) Reports to: Leader, Research & Analytics Pay Rate: $48.17-$55.78 /hour Principal Accountabilities:Responsible for data engineering for the machine learning component of RAP (predictive algorithm used for Resource Allocation Program at BC Safety Authority)Responsible for developing and maintaining critical data infrastructures to support machine learning processes and expand data science platform and tools.Responsible for selecting and integrating any Big Data tools and frameworks required to provide requested capabilities such as TensorflowResponsible for monitoring performance and advising any necessary infrastructure changes through automationCreation of version control and roll back strategy of the machine learning processesApply leadership and promote value of data science to help make sound safety decisions.Able to communicate and collaborate effectively with BI team to support various BI development projectsWork with multiple, complex data sources such as social media APIs and other open source APIsDesign, build, implement & test machine learning models, and ship deployment-ready versions into productionIdentify and implement new data sources/patterns that add significant lift to machine learning modelsDevelop innovative solutions to hard machine learning problemsAble to conduct independent researchKnowledge, Skills & Experience: Education and Experience Master's in computer science,computer engineering, big data and statistics or equivalent work experienceTypically requires over 6 years data engineering, data science, or software engineering experience.Capability to architect highly scalable distributed systems, using different open source tools.Demonstrated experience with agile or other rapid application development methods.Demonstrated experience with object oriented design, coding and testing patterns as well as experience in engineering (commercial or open source) software platforms and largescale data infrastructures.Understands how algorithms work and have experience building high performance algorithms.Extensive knowledge in different programming or scripting languages.Expert knowledge of data modeling and understanding of different data structures and their benefits and limitations under particular use cases.Experience using Big Data batch and streaming tools.Experience with SparkExperience with integration of data from multiple data sourcesExperience with NoSQL databases, such as HBase, Cassandra, MongoDBKnowledge of various ETL techniques and frameworksExperience with various messaging systems, such as Kafka or RabbitMQExperience with Big Data ML toolkits, such as Mahout, SparkML, or H2O Knowledge and Skills Business savvy to be able to translate technical work to business valuesHighly motivated to tackle multiple projects in parallelAptitude to independently learn new technologiesExcellent written and oral communication skills and ability to share findings with a large, non-technical audienceSolid understanding of experimental design, combined with creativity and curiosity to explore innovative solutionsSolid understanding of IT systems, databases, and data management including data qualitySolid communication and interpersonal skills to engage in collaborative dialogue with internal and external customers/stakeholdersSolid planning skills to develop plans for designated projects and assignmentsSolid analytical, problem-solving and decision-making skills to identify and take action to assess needs, address challenges, and manage changeAbility to work with a wide range of stakeholdersBasic leadership skills to provide day-to-day technical guidance*Please note: As the system is in development, competitions will remain visible past the application deadline. Only applications sent prior to the deadline will be considered.Likewise, please note that only short listed candidates will be contacted.",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=618&ao=4121&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d26e8cc5&cb=1516299321210&jobListingId=2627935788
Data Analyst, Kovasys, – Montreal, 6 days ago," ID #: 1472  Title / Titre: Data Analyst  Location / Lieu de Travail: Montreal, QC  Type: Permanent Salary Range / Salaire: TBD Description:Our Data Analyst position will be responsible for assisting in the development and maintaining of corporate databases. KNOWLEDGE & EXPERIENCE:Bachelor’s degree in Information Technology or Computer Science2-4 years experienceRequirements:Write SQL queries to export/validate/analyze counterparty dataIn depth knowledge of Access, Excel, Visual Basic, MS SQLMonitor changes in data to ensure data integrityCode logical and physical database descriptions and specify identifiers of database to management systemImplement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosurePrepare and test change requests when requiredVerify/check/compare client counterparty data from the counterparty databases to internal reports and spreadsheetsProduce internal and regulatory reports on regular or adhoc basisPerform other duties as assigned",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=619&ao=4120&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a71443c9&cb=1516299321211&jobListingId=2200841398
Software Architect - Big Data - Central Technology (Activision, Demonware, – Vancouver, 8 days ago,"We have an opening in our Vancouver office for a Senior Big Data Software Architect who will be responsible for the expansion and maintenance of our cloud based Data Services platform, including data lake, relational data warehouse, and real-time data systems. Responsibilities:Developing, maintaining, and enhancing our Java / Python code base, including our AWS-based ingestion pipeline, custom ETL, queuing and Hadoop componentsMentor developers and data architects on best practices for Java development and cloud-based big data architectureAnalyzing Data Services workflows at a high level and identifying potential development opportunities including gaps in service and toolsEnsuring all components are highly scalable, maintainable and monitoredDelivering components using best coding practises and modular designWorking closely with members of the Data Services and Live Operations teams to troubleshoot issues as they ariseRequirements:A degree in Computer Science, Computer Engineering or equivalent5+ years of experience in software architecture, development and testingProven ability to analyze architecturally significant requirements and make corresponding design decisionsAbility to translate customer requirements into concrete technical designHas initiative, and is proactive about identifying problems and potential solutionsExperience with designing highly scalable, highly modular business critical systemsKnowledgeable and passionate about software development best practices, including testing and build automationExperience with big data technologies (Hadoop, Spark, Presto, 2-3 years)Experience with Java (2-3 years)Experience with queuing / messaging systems (Kafka, RabbitMQ)Experience with event based micro-service architecturesExperience with SQL and database design, specifically Amazon Redshift, MySQL, or PostgresExperience with NOSQL solutions (HBase, Cassandra, etc.)Experience with Linux/UnixExperience working with data in AWS or other cloud platforms (2-3 years) preferredPython and C++ (nice to have) strongly preferred",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=620&ao=270709&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d412d46c&cb=1516299321213&jobListingId=2564333832
"SR Scientist II, DMPK", Boehringer Ingelheim, – New Brunswick, 6 days ago,"Description: Independently provide innovative expertise to Global Project Teams, DSD, GCO, RA, external experts and regulators to support product discovery and development and influence regulatory strategy, particularly with pharmacokinetic (PK) and pharmacodynamics (PD) modeling and simulation and other statistical analyses. Independently provide expertise in support of efficacy, formulation selection, pharmacokinetic/pharmacodynamics, toxicity, target animal safety and human food safety studies with protocol design, data analysis and interpretation, and reporting. Provide leadership, guidance and training to colleagues in pharmacokinetic and statistical analysis. Will serve as Study Director or Investigator for appropriate studies.  As an employee of Boehringer Ingelheim, you will actively contribute to the discovery, development and delivery of our products to our patients and customers. Our global presence provides opportunity for all employees to collaborate internationally, offering visibility and opportunity to directly contribute to the companies' success. We realize that our strength and competitive advantage lie with our people. We support our employees in a number of ways to foster a healthy working environment, meaningful work, diversity and inclusion, mobility, networking and work-life balance. Our competitive compensation and benefit programs reflect Boehringer Ingelheim's high regard for our employees Duties & Responsibilities:Expert in PK and PD principles and design, execution, data analysis, modeling & simulation, interpretation and statistical analysis of PK studies.Expert in utilization of PK, PD, PBPK and population PK/PD modeling and simulation using relevant software tools.Skills used to enhance the quality and efficiency of drug development and influence regulatory strategy.Provide expert advice on dose/regimen selection; investigate the relationships between PK and clinical endpoints and adverse effects.Represents PKDM on global project teams and interacts cross-functionally with animal health departments and groups.Functions as a consultant in areas of expertise both within the department and for Pharma R&D and Project Teams.Prepares and participates in presentations to regulatory agencies.Independently produces well written, accurate, technical summaries and reports complying with scientific, business and regulatory needs.Prepare appropriate responses to regulatory agencies in PK, PK/PD and clinical pharmacology related issues.Independently directs bioanalytical, drug metabolism and PK studies and the pharmacokinetic aspects of formulation, safety and/or clinical studies.Ensures appropriate study design, protocol generation, execution and sample analysis using suitable methods, and appropriate data analysis to address the relevant outcomes.Conduct activities in compliance with established regulatory guidelines and requirements.Serves as Study Director or Investigator for PKDM studies and writes GLP protocols and reports. Understands and complies with Good Laboratory Practices (GLPs), company Standard Operating Procedures and Policies, and safety practices in the laboratory and offices according to animal health HSE policies.Enhances individual and corporate recognition through presentations and publications to internal and external audiences and participation in professional and technical associations.Develops technical knowledge by utilizing available information and training resources.Manages and develops direct report(s) according to Boehringer Ingelheim directives enhancing employee engagement and functional excellence for PKDM.Requirements:Ph.D. in pharmacology from an accredited institutionPK & PD/pharmacometrics or related mathematical modeling and simulation discipline with five plus (5 ) years of industrial experience in PKPD modeling and simulation -OR- M.S. from an accredited institution with eight (8) or more years industrial experience.Candidate must have solid knowledge of pharmacokinetics, pharmacodynamics, modeling and simulation.Familiarity with PK & PD modeling software: WinNonlin, SAS, NONMEM, Crystal Ball and other relevant software is preferred but not mandatory.Excellent written and verbal communication skills, as well as strong interpersonal skills are required in order to successfully collaborate with others.Expertise in working under GLPs and in other highly regulated environments is necessary.Eligibility Requirements:Must be legally authorized to work in the United States without restrictionMust be willing to take a drug test and post-offer physical (if required)Must be 18 years of age or olderOur Culture: Boehringer Ingelheim is one of the world’s top 20 pharmaceutical companies and operates globally with approximately 50,000 employees. Since our founding in 1885, the company has remained family-owned and today we are committed to creating value through innovation in three business areas including human pharmaceuticals, animal health and biopharmaceutical contract manufacturing. Since we are privately held, we have the ability to take an innovative, long-term view. Our focus is on scientific discoveries and the introduction of truly novel medicines that improve lives and provide valuable services and support to patients and their families. Employees are challenged to take initiative and achieve outstanding results. Ultimately, our culture and drive allows us to maintain one of the highest levels of excellence in our industry. We are also deeply committed to our communities and our employees create and engage in programs that strengthen the neighbourhoods where we live and work. Boehringer Ingelheim, including Boehringer Ingelheim Pharmaceuticals, Inc., Boehringer Ingelheim USA, Boehringer Ingelheim Animal Health USA, Inc., Merial Barceloneta, LLC and Boehringer Ingelheim Fremont, Inc. is an equal opportunity and affirmative action employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race; color; creed; religion; national origin; age; ancestry; nationality; marital, domestic partnership or civil union status; sex, gender identity or expression; affectional or sexual orientation; disability; veteran or military status, including protected veteran status; domestic violence victim status; atypical cellular or blood trait; genetic information (including the refusal to submit to genetic testing) or any other characteristic protected by law.  Boehringer Ingelheim is firmly committed to ensuring a safe, healthy, productive and efficient work environment for our employees, partners and customers. As part of that commitment, Boehringer Ingelheim conducts pre-employment verifications and drug screenings. LI-SF1I-SF1",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=621&ao=102921&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_955f8730&cb=1516299321214&jobListingId=2542757585
Sr. Data Engineer - Central Technology (Activision, Demonware, – Vancouver, Today,"Do you have a passion for Big Data technologies? Are you excited by the idea of crafting systems processing billions of events per day, helping guide the development of one of the biggest game franchises on the planet? Do you live and breathe Hadoop, Hive, Spark, Java, Scala, Python, and similar technologies in a cloud environment? If so, our Senior Data Engineer role in our Vancouver, BC office is for you!  As an integral part of our Data Services team, you’ll help build and extend our petabyte-scale Data Lake, and design/build new near-realtime systems using modern and cutting-edge streaming technologies on our AWS-based platform. Responsibilities:Developing, maintaining, and extending our Java / Python code base, including our AWS-based ingestion pipeline, custom ETL, queueing, and Hadoop components.Mentor junior/intermediate Data Engineers and Data Architects on best practices for various development methodologies and cloud-based big data architecture.Accountable for the development and production-readiness of multiple large-scale components throughout our data pipeline.Balance the needs of a highly dynamic customer environment with the need for robust production systems.Approach all systems and interactions with a customer-first focus, including a solid understanding of the trade-offs between rapid solutions and overall platform stability.Working with our Software Architect and Development Manager, drive an overall architectural vision that efficiently delivers on both near-realtime and batch processes.Work alongside our Data Architects and Ops teams to ensure our AWS-based platform delivers on customer needs, including maintenance of our existing systems and design/delivery on new requirements.Requirements:A degree in Computer Science, Computer Engineering, or equivalent.Proven verbal and written communication skills, including the ability to communicate complex technical ideas to end users.Proven ability to understand customer workflows, analyze architecturally significant requirements, and implement systems to match.5+ years of experience with Java, Python, Scala, and/or other relevant languages.3+ years of experience with Big Data technologies (Hadoop, Kafka, etc.).Experience with real-time data processing.Experience with version control.Experience with Unix/Linux.Experience with event based micro-service architectures.Experience with SQL and database a strong nice-to-have.Experience working with cloud infrastructures.Knowledgeable and passionate about software development best practices, including testing and build automationWhat We Offer:An excellent salary25 days holidaysAnnual bonus programAnnual pay reviewPension matching contributionsTop-tier healthcare for you and your familyLife insurance coverageFree Activision GamesSnacks 24/7Flexible working practices, based on the belief that the quality of your work is not dependent on the number of hours sitting behind a deskA culture that emphasizes continual learning and improvement, with opportunities for career progression, travel, and a commitment to open source",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=622&ao=270709&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fec3ecf7&cb=1516299321215&jobListingId=2639043691
Data Analyst, Seedbox Technologies, – Montreal, 15 days ago,"Data Analyst Numbers speaks to you! Top 5 reasons why you want this job:As a Data Analyst:Challenged daily by some of the best, you will!Learning from passionate Seedboxers and sharing your own knowledge, you must!You will develop continuously in a high-performing Agile environment!You will enjoy flex time in a cool, casual environment where developer knowledge and technical skills are highly valued!You will get the chance to work on sites that get millions of impressions, database entries, and queries each day! You should also read the top 10 reasons why you want to be a Seedboxer! What type of challenges await you at Seedbox?Perform ad-hoc data analysis producing valuable insights to business stakeholdersExplore data answering questions and finding new business opportunitiesClean, transform, compute and verify the integrity of data used for analysisWork with business stakeholders to develop new KPIs that provide useful insightsWork with the Business Intelligence team, providing them with requirements for the development of new KPIs and data pipelinesUsing a distributed computing system, develop predictive models for insight purposesMake presentations to communicate your findings to stakeholdersWork with stakeholders to develop their data-driven mindset allowing them to leverage their data to its full potentialAny resemblance to the character described below is purely coincidental but means that we want you at SeedboxUniversity degree in Computer Science, Mathematics, Econometrics or related field;At least 3 years of experience doing data analysis;Experience with at least one data science language like: R or Python;Experience with data visualization tools like: ggplot2, Matplotlib or Plotly;Experience with reproducible research tools like: RMarkdown, Jupyter Notebook or Databricks Notebooks;Experience with relational databases like: MySQL, PostrgreSQL or SQLServer;Experience with Excel for data analysis;Strong statistical analysis skills;Excellent understanding of predictive modeling;Experience with Spark or other distributed computing systems is a great asset;Passionate about data;Excellent oral and written communication skills in English and French;Ability to communicate complex concepts to business stakeholders.Are you also...Someone who likes to learn continuously?A team player?Creative? Yes!We cant wait to welcome you,so apply today!",2018-01-18,Canada,https://www.glassdoor.com/partner/jobListing.htm?pos=623&ao=4128&s=58&guid=000001610a7b7d81859e5a965ccc8f96&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_14506165&cb=1516299321216&jobListingId=2605865920
